origin,airport_name,state,region,delayed_time,pct_greater,total_flights
CHO,Charlottesville Albemarle,Virginia,South,64.1822033898305,0.312953995157385,5903
CHS,Charleston AFB/International,South Carolina,South,46.96166134185304,0.21628003889429087,25715
CID,The Eastern Iowa,Iowa,Midwest,47.28372234010306,0.2094574113367687,9487
CIU,Chippewa County International,Michigan,Midwest,81.67415730337079,0.3707865168539326,677
CKB,North Central West Virginia,West Virginia,South,91.22,0.424,856
CLE,Cleveland-Hopkins International,Ohio,Midwest,48.58384523053026,0.23342512179622962,49615
CLL,Easterwood Field,Texas,South,58.826405867970664,0.293398533007335,2267
CLT,Charlotte Douglas International,North Carolina,South,36.56724543677044,0.18409806699371276,234519
CMH,John Glenn Columbus International,Ohio,Midwest,41.07048651817116,0.19871043376318875,47897
CMI,University of Illinois/Willard,Illinois,Midwest,56.1489932885906,0.26174496644295303,2903
CMX,Houghton County Memorial,Michigan,Midwest,112.66489361702128,0.4148936170212766,728
CNY,Canyonlands Field,Utah,West,92.70068027210884,0.3945578231292517,623
COD,Yellowstone Regional,Wyoming,West,69.26829268292683,0.3780487804878049,451
COS,City of Colorado Springs Municipal,Colorado,West,70.06907894736842,0.3260233918128655,10085
COU,Columbia Regional,Missouri,Midwest,63.81979320531758,0.30132939438700146,2369
CPR,Casper/Natrona County International,Wyoming,West,64.34074074074074,0.3333333333333333,1055
CRP,Corpus Christi International,Texas,South,52.732790525536636,0.25832716506291636,5894
CRW,Yeager,West Virginia,South,61.987315010570825,0.28752642706131076,4499
CSG,Columbus Airport,Georgia,South,52.695205479452056,0.2602739726027397,1274
CVG,Cincinnati/Northern Kentucky International,Kentucky,South,48.021054797339005,0.2342774843975036,48230
CWA,Central Wisconsin,Wisconsin,Midwest,60.448905109489054,0.31386861313868614,2606
CYS,Cheyenne Regional/Jerry Olson Field,Wyoming,West,83.24489795918367,0.4013605442176871,515
DAB,Daytona Beach International,Florida,South,35.65477560414269,0.15765247410817032,3310
DAL,Dallas Love Field,Texas,South,25.143039727340504,0.09942485887740973,73907
DAY,James M Cox/Dayton International,Ohio,Midwest,52.2651598676957,0.27205071664829106,13834
DBQ,Dubuque Regional,Iowa,Midwest,52.75174825174825,0.2867132867132867,1049
DCA,Ronald Reagan Washington National,Virginia,South,46.86594194298735,0.23583584533953622,139023
DEN,Denver International,Colorado,West,36.73942047697907,0.17344523348396815,252026
DFW,Dallas/Fort Worth International,Texas,South,39.76281858296705,0.19672793896281515,303959
DHN,Dothan Regional,Alabama,South,57.149532710280376,0.2866043613707165,1375
DLG,Dillingham Airport,Alaska,West,22.703703703703702,0.1111111111111111,82
DLH,Duluth International,Minnesota,Midwest,92.12918108419838,0.3621683967704729,3376
DRO,Durango La Plata County,Colorado,West,54.5162037037037,0.30092592592592593,3242
DRT,Del Rio International,Texas,South,55.813559322033896,0.22033898305084745,723
DSM,Des Moines International,Iowa,Midwest,50.12929623567921,0.23076923076923078,16951
DTW,Detroit Metro Wayne County,Michigan,Midwest,44.46111241292631,0.2157510171910615,161757
DVL,Devils Lake Regional,North Dakota,Midwest,141.3015873015873,0.5396825396825397,625
EAR,Kearney Regional,Nebraska,Midwest,102.32075471698113,0.4056603773584906,684
EAU,Chippewa Valley Regional,Wisconsin,Midwest,97.16778523489933,0.40268456375838924,728
ECP,Northwest Florida Beaches International,Florida,South,40.87913279132791,0.1842818428184282,6584
EGE,Eagle County Regional,Colorado,West,89.15443037974684,0.35063291139240504,2339
EKO,Elko Regional,Nevada,West,62.83132530120482,0.1927710843373494,676
ELM,Elmira/Corning Regional,New York,Northeast,62.031007751937985,0.29457364341085274,603
ELP,El Paso International,Texas,South,39.170916877554994,0.17189020829277787,17050
ERI,Erie International/Tom Ridge Field,Pennsylvania,Northeast,66.4,0.32666666666666666,1194
ESC,Delta County,Michigan,Midwest,80.10285714285715,0.30857142857142855,625
EUG,Mahlon Sweet Field,Oregon,West,55.63298662704309,0.2652303120356612,5217
EVV,Evansville Regional,Indiana,Midwest,58.699106256206555,0.28897715988083417,4035
EWN,Coastal Carolina Regional,North Carolina,South,53.40721649484536,0.25945017182130586,2358
EWR,Newark Liberty International,New Jersey,Northeast,56.98596156190322,0.29819999187355245,134058
EYW,Key West International,Florida,South,44.74154589371981,0.21980676328502416,5682
FAI,Fairbanks International,Alaska,West,35.352231604342585,0.16164053075995174,4723
FAR,Hector International,North Dakota,Midwest,60.326903553299495,0.24720812182741117,6034
FAT,Fresno Yosemite International,California,West,59.824636723910174,0.2892998678996037,12361
FAY,Fayetteville Regional/Grannis Field,North Carolina,South,42.96089850249584,0.18386023294509152,3703
FCA,Glacier Park International,Montana,West,55.00776699029126,0.24271844660194175,3039
FLG,Flagstaff Pulliam,Arizona,West,65.45428571428572,0.30857142857142855,1992
FLL,Fort Lauderdale-Hollywood International,Florida,South,42.38678454592154,0.2061535133965988,93850
FNT,Bishop International,Michigan,Midwest,49.66524064171123,0.22994652406417113,3488
FSD,Joe Foss Field,South Dakota,Midwest,57.60517325524646,0.2698877501220107,7140
FSM,Fort Smith Regional,Arkansas,South,65.13453815261045,0.3072289156626506,2165
FWA,Fort Wayne International,Indiana,Midwest,60.86412213740458,0.27633587786259545,7077
GCC,Gillette Campbell County,Wyoming,West,75.7081081081081,0.33513513513513515,772
GCK,Garden City Regional,Kansas,Midwest,48.39766081871345,0.22807017543859648,728
GEG,Spokane International,Washington,West,40.889325474787164,0.16011787819253437,12034
GFK,Grand Forks International,North Dakota,Midwest,63.61206896551724,0.2952586206896552,2113
GGG,East Texas Regional,Texas,South,50.36645962732919,0.2546583850931677,939
GJT,Grand Junction Regional,Colorado,West,63.650499286733236,0.3095577746077033,4069
GNV,Gainesville Regional,Florida,South,44.240255591054314,0.2146964856230032,5200
GPT,Gulfport-Biloxi International,Mississippi,South,59.071850393700785,0.28838582677165353,4571
GRB,Green Bay Austin Straubel International,Wisconsin,Midwest,62.130718954248366,0.2777777777777778,5169
GRI,Central Nebraska Regional,Nebraska,Midwest,58.59550561797753,0.25280898876404495,1143
GRK,Robert Gray AAF,Texas,South,54.77408256880734,0.22477064220183487,3396
GRR,Gerald R. Ford International,Michigan,Midwest,47.79404031551271,0.22068361086765995,19197
GSO,Piedmont Triad International,North Carolina,South,54.233465085639,0.26613965744400525,14634
GSP,Greenville-Spartanburg International,South Carolina,South,54.3901727619475,0.25667489342607136,16020
GST,Gustavus Airport,Alaska,West,26.894736842105264,0.10526315789473684,82
GTF,Great Falls International,Montana,West,74.35211267605634,0.2711267605633803,1797
GTR,Golden Triangle Regional,Mississippi,South,67.05263157894737,0.3082706766917293,1184
GUC,Gunnison-Crested Butte Regional,Colorado,West,61.27777777777778,0.2916666666666667,240
HDN,Yampa Valley,Colorado,West,67.74535809018568,0.2519893899204244,1084
HGR,Hagerstown Regional-Richard A. Henson Field,Maryland,South,66.5657894736842,0.3026315789473684,183
HHH,Hilton Head Airport,South Carolina,South,62.990369181380416,0.26484751203852325,2232
HIB,Range Regional,Minnesota,Midwest,76.45569620253164,0.3037974683544304,626
HLN,Helena Regional,Montana,West,52.72677595628415,0.23497267759562843,1351
HNL,Daniel K Inouye International,Hawaii,West,23.15406162464986,0.07256856230864439,51653
HOB,Lea County Regional,New Mexico,West,67.88095238095238,0.25595238095238093,748
HOU,William P Hobby,Texas,South,26.260224,0.106176,60273
